
Symbol table '.dynsym' contains 2370 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
   233: 00000000001344c0   218 FUNC    GLOBAL DEFAULT   15 setservent@@GLIBC_2.2.5
   234: 000000000011fe80    37 FUNC    GLOBAL DEFAULT   15 timerfd_create@@GLIBC_2.8
   235: 000000000009f810    60 IFUNC   GLOBAL DEFAULT   15 strrchr@@GLIBC_2.2.5
   236: 000000000015e1e0   318 FUNC    WEAK   DEFAULT   15 posix_openpt@@GLIBC_2.2.5
   237: 0000000000153a00   103 FUNC    GLOBAL DEFAULT   15 svcerr_systemerr@@GLIBC_2.2.5
   238: 000000000008dfd0    97 FUNC    WEAK   DEFAULT   15 fflush_unlocked@@GLIBC_2.2.5
   239: 00000000000343c0    23 FUNC    GLOBAL DEFAULT   15 __isgraph_l@@GLIBC_2.2.5
   240: 000000000012eef0   202 FUNC    GLOBAL DEFAULT   15 __swprintf_chk@@GLIBC_2.4
   241: 00000000000865d0    27 FUNC    GLOBAL DEFAULT   15 vwprintf@@GLIBC_2.2.5
   242: 00000000000e2c00    19 FUNC    WEAK   DEFAULT   15 wait@@GLIBC_2.2.5
   243: 0000000000113630    44 FUNC    GLOBAL DEFAULT   15 __read_nocancel@@GLIBC_PRIVATE
   244: 0000000000084ba0   361 FUNC    WEAK   DEFAULT   15 setbuffer@@GLIBC_2.2.5
   245: 000000000009c860   767 FUNC    WEAK   DEFAULT   15 posix_memalign@@GLIBC_2.2.5
   246: 000000000010d120    23 FUNC    GLOBAL DEFAULT   15 posix_spawnattr_setschedpolicy@@GLIBC_2.2.5
   247: 000000000013b990   405 FUNC    GLOBAL DEFAULT   15 getipv4sourcefilter@@GLIBC_2.3.4
   248: 000000000012f190    28 FUNC    GLOBAL DEFAULT   15 __vwprintf_chk@@GLIBC_2.4
   249: 000000000012f8e0    75 FUNC    GLOBAL DEFAULT   15 __longjmp_chk@@GLIBC_2.11
   250: 00000000000627f0   147 FUNC    GLOBAL DEFAULT   15 tempnam@@GLIBC_2.2.5
   251: 00000000000340c0    30 FUNC    GLOBAL DEFAULT   15 isalpha@@GLIBC_2.2.5
   252: 000000000009ef10    96 FUNC    GLOBAL DEFAULT   15 __libc_alloc_buffer_alloc_array@@GLIBC_PRIVATE
   253: 000000000004c410    14 FUNC    WEAK   DEFAULT   15 strtof_l@@GLIBC_2.3
   254: 0000000000160d30   284 FUNC    GLOBAL DEFAULT   15 regexec@GLIBC_2.2.5
   255: 00000000000ff690   383 FUNC    GLOBAL DEFAULT   15 regexec@@GLIBC_2.3.4
